bout_idx,bout_id,stop_num,stop_start_frame,stop_end_frame,stop_duration_ms,height_walk_before,height_during_stop,height_walk_after,speed_walk_before,speed_walk_after,delta_walk_to_stop,delta_stop_to_walk
30,30,19,345751,345769,22.5,1.914865310668945,1.910428704155816,1.8929838485717772,2.136234097833965,5.512999783684621,-0.00443660651312916,-0.017444855584038743
39,39,1,451400,451415,18.75,2.0517380981445315,2.0542145029703773,2.0487248382568364,3.924841659516923,3.2465427018211157,0.0024764048258458793,-0.005489664713540954
39,39,2,451446,451456,12.5,2.051358848571777,2.045916519165039,2.0487458877563482,3.0010518371378203,1.6807066674482891,-0.005442329406737834,0.0028293685913092226
39,39,3,451467,451504,46.25,2.0486355361938475,2.0488683236611855,2.0319785614013672,3.1406648628254072,2.095662578415877,0.0002327874673380137,-0.01688976225981831
39,39,4,451537,451549,15.0,2.0389466552734374,2.0265525817871093,2.0224127883911134,2.153848641267856,2.1501241616596696,-0.01239407348632815,-0.0041397933959959055
39,39,5,451564,451591,33.75,2.0282169189453128,2.025569491916233,2.0199573059082034,2.203471276229013,3.218287246839069,-0.0026474270290797186,-0.005612186008029596
39,39,6,451627,451637,12.5,2.0213231353759764,2.017392997741699,2.016119064331055,3.0850687665685625,2.7168915997358973,-0.0039301376342772976,-0.0012739334106441902
39,39,7,451689,451704,18.75,2.0162024993896486,2.0201118214925127,2.017151695251465,2.8038019052912424,2.6663989397646417,0.003909322102864099,-0.002960126241047689
39,39,8,451728,451740,15.0,2.0182785186767576,2.0197986602783207,2.018700119018555,2.350483029618219,3.7749365443582095,0.0015201416015631075,-0.0010985412597657174
40,40,1,457855,457866,13.75,2.0303441390991206,2.0528901880437678,1.9957560806274415,2.49810560942643,9.910283174152077,0.02254604894464718,-0.057134107416326296
40,40,2,457869,457885,20.0,2.042721580505371,2.0347899436950683,1.9883061447143555,2.1893318141136895,15.293001609806511,-0.007931636810302845,-0.046483798980712754
40,40,3,458673,458689,20.0,2.037755271911621,2.017315673828125,1.977756233215332,2.5923677672833847,2.3743897934087075,-0.020439598083496158,-0.03955944061279282
40,40,4,458772,458790,22.5,1.9712052230834962,1.9502816094292532,1.8697394943237307,2.5954779622986734,6.714616478170955,-0.020923613654243,-0.08054211510552256
41,41,1,481754,481784,37.5,2.1312562561035158,2.1447835795084638,2.1492292556762695,6.018134519416727,3.2895740441852763,0.013527323404948,0.004445676167805779
41,41,2,481830,481842,15.0,2.150335594177246,2.1327747980753577,2.0668816757202153,3.303734656638293,6.706092389909062,-0.017560796101888432,-0.06589312235514244
41,41,3,481843,481859,20.0,2.1453320922851558,2.1185680389404298,2.0299320640563967,2.751942723466248,12.104417046678755,-0.02676405334472598,-0.08863597488403308
44,44,1,535103,535115,15.0,1.8153064765930174,1.8185962677001954,1.8105402565002442,2.8362403089338053,3.349113628450535,0.003289791107178086,-0.008056011199951252
44,44,2,535160,535172,15.0,1.8127609176635742,1.7987631479899087,1.7980534629821778,3.3513449530754693,2.7870462270728633,-0.013997769673665506,-0.0007096850077308314
44,44,3,535178,535188,12.5,1.807817283630371,1.80196102142334,1.8035670814514162,3.0623886612875175,3.2069467810795276,-0.00585626220703106,0.0016060600280762838
44,44,4,535273,535284,13.75,1.8061747894287108,1.7971659400246358,1.80124275970459,2.9021997208153145,2.5498445706966413,-0.009008849404074981,0.004076819679954102
44,44,5,535333,535349,20.0,1.8010240325927733,1.7985188245773316,1.8100234375000002,2.5777914273901734,1.3717826231764125,-0.00250520801544174,0.011504612922668578
44,44,6,535351,535405,67.5,1.801639087677002,1.8092782656351725,1.8273456497192382,2.3439947278703106,3.7023551878701926,0.007639177958170373,0.01806738408406572
46,46,1,543314,543331,21.25,1.9915310974121092,2.053441956463982,2.0279573440551757,4.3939763992032255,2.254238959499917,0.06191085905187288,-0.025484612408806395
46,46,2,543338,543349,13.75,2.032101737976074,2.053409229625355,1.9890667266845705,2.3449763491299924,6.3618920468483235,0.02130749164928103,-0.06434250294078447
46,46,3,543745,543756,13.75,1.929324905395508,1.9225791931152343,1.887568744860197,2.2212440133813334,2.370812651665538,-0.0067457122802736524,-0.035010448255037296
46,46,4,543763,543780,21.25,1.9268322525024417,1.88883633333094,1.8740730013166156,2.1235945633444007,2.916461135430265,-0.0379959191715018,-0.014763332014324337
47,47,1,552349,552388,48.75,2.0447663497924804,2.080931560809796,2.0792789654854014,5.814835646295608,2.954483892945781,0.036165211017315624,-0.0016525953243946567
47,47,2,552390,552416,32.5,2.0793410415649416,2.0818472935603216,2.072593376853249,1.3994324207262225,6.414137825971299,0.0025062519953800155,-0.009253916707072651
51,51,1,580627,580638,13.75,2.0134931221008303,2.0379826285622338,2.0498306922912595,4.696136857409161,2.7212116870177203,0.024489506461403465,0.011848063729025693
51,51,2,580652,580664,15.0,2.034180236816406,2.0704015413920085,2.031191268920899,2.5600515812393785,3.342459236218968,0.03622130457560235,-0.03921027247110942
51,51,3,580717,580733,20.0,2.028487678527832,2.006232118606567,2.001450973510742,3.420615121629428,1.760501460715104,-0.022255559921264823,-0.004781145095825057
51,51,4,580741,580766,31.25,2.016584808349609,2.003769348144531,1.98200186920166,2.538137709684331,3.6929726238471563,-0.012815460205077844,-0.02176747894287101
51,51,5,580773,580784,13.75,2.0030142822265624,1.9971304806795986,1.9783861846923825,1.8866454579859397,5.780156001112294,-0.005883801546963774,-0.018744295987216164
51,51,6,581449,581459,12.5,1.9560098419189453,1.969397735595703,1.9490788192749025,11.422640348437996,8.446949688207436,0.013387893676757745,-0.02031891632080063
51,51,7,581460,581471,13.75,1.9548695602416997,1.978234932639382,1.9465490913391112,8.190114069925032,10.177611402003855,0.023365372397682327,-0.031685841300270745
58,58,1,663480,663495,18.75,2.018047569274902,2.0131562042236326,2.0001301040649415,5.109627557353258,3.2159049343004473,-0.004891365051269414,-0.0130261001586911
58,58,2,663500,663510,12.5,2.011493774414063,2.005521469116211,1.998348434448242,3.9601745024146187,3.5252902875564223,-0.005972305297851754,-0.007173034667969036
58,58,3,663572,663584,15.0,1.9974557113647464,1.993958568572998,1.98205802154541,3.2084524485116197,2.9508445874807148,-0.0034971427917485087,-0.011900547027587915
58,58,4,663788,663800,15.0,1.9676912841796874,1.967415237426758,1.963582534790039,3.755221054374599,2.7023862738902134,-0.0002760467529294708,-0.0038327026367188655
58,58,5,663848,663899,63.75,1.9635401306152347,1.9555315503887098,1.9517700805664062,2.7783236428205083,2.6355090505032215,-0.008008580226524842,-0.0037614698223036314
58,58,6,663938,663948,12.5,1.9526983184814455,1.9492288970947265,1.9413030776977538,2.6271238627191953,1.8097067519594179,-0.0034694213867190182,-0.007925819396972678
58,58,7,663965,663985,25.0,1.9495216979980472,1.9413874053955076,1.9427652130126953,2.654568945176514,3.3248245094709112,-0.008134292602539617,0.001377807617187754
58,58,8,664029,664044,18.75,1.9416360473632812,1.9502863820393879,1.9436611404418942,3.371010515913382,2.609436213985453,0.008650334676106652,-0.00662524159749367
58,58,9,664045,664056,13.75,1.9460559921264649,1.9431977358731354,1.9432262420654296,3.3234957072855185,3.44117653017794,-0.002858256253329472,2.85061922942198e-05
58,58,10,664204,664230,32.5,1.9304087677001953,1.9275660588191106,1.9290617980957032,3.3402499439113016,2.2135689725355405,-0.0028427088810847323,0.0014957392765926336
58,58,11,664301,664328,33.75,1.930126647949219,1.9230266712330004,1.9262321319580078,3.34490883226972,2.855808699456214,-0.007099976716218537,0.0032054607250073808
58,58,12,664332,664344,15.0,1.9252424774169925,1.9268581390380854,1.9263763961791995,3.057098775721279,3.017582439742523,0.0016156616210929453,-0.00048174285888591406
58,58,13,664398,664424,32.5,1.9263336944580078,1.9235104340773361,1.921027946472168,3.0997854403950935,2.9626269339432834,-0.0028232603806717105,-0.0024824876051681155
